"ISO_CODE_2C","TOTAL_CASES"
"IR","628780"
"VC","75"
"KH","292"
"AI","3"
"SA","348037"
"SM","928"
"BY","100400"
"ST","949"
"RW","5155"
"KN","19"
"CM","21793"
"IQ","478701"
"CA","240263"
"RU","1655038"
"GI","707"
"CV","8882"
"RO","250704"
"LC","84"
"BI","589"
"SN","15637"
"KG","60279"
"MM","54607"
"GR","42080"
"RS","49205"
"ID","415402"
"BG","56496"
"SC","155"
"HU","86769"
"BN","148"
"SG","58020"
"VG","72"
"SK","61829"
"SB","8"
"BZ","3624"
"SL","2366"
"KY","240"
"PR","68172"
"WF","1"
"CF","4866"
"TL","30"
"GW","2413"
"IE","62750"
"LK","11335"
"PT","146847"
"PL","395480"
"TD","1499"
"GH","48200"
"PH","385400"
"CL","513188"
"PE","906545"
"PY","64156"
"CN","91396"
"VN","1192"
"IL","315983"
"PA","134915"
"TW","567"
"PK","336260"
"MH","2"
"MP","96"
"PF","7262"
"CO","1093256"
"IT","731588"
"DE","560379"
"NO","20634"
"KM","545"
"NG","63036"
"CG","5290"
"NE","1222"
"PG","590"
"SI","36206"
"BR","5554206"
"GL","17"
"IN","8267623"
"SO","3941"
"ZA","727595"
"BW","6642"
"ZW","8389"
"IS","4931"
"BA","52269"
"BO","141867"
"SS","2926"
"EH","766"
"BT","356"
"SD","13819"
"AF","41728"
"GD","29"
"BM","206"
"SR","5212"
"VE","92705"
"QA","132917"
"SZ","5929"
"CH","175570"
"BB","238"
"SY","5843"
"AM","94776"
"TJ","11096"
"TH","3797"
"BD","410988"
"GU","4693"
"TG","2364"
"TT","5704"
"BH","82133"
"AE","135141"
"TN","61906"
"HN","98405"
"BS","6735"
"TR","379775"
"AT","114270"
"TC","704"
"UG","12971"
"AU","27602"
"UA","402194"
"MK","32997"
"GT","108104"
"AR","1183118"
"EG","107925"
"VA","26"
"DJ","5573"
"GB","1053864"
"AZ","57040"
"GG","271"
"JE","591"
"AG","128"
"HT","9054"
"IM","355"
"AO","11035"
"TZ","509"
"US","9291245"
"AD","4888"
"GN","12213"
"VI","1378"
"DZ","58574"
"BF","2517"
"UY","3165"
"AL","21523"
"GY","4238"
"UZ","67254"
"CD","11372"
"KW","127293"
"BJ","2683"
"YE","2063"
"MV","11737"
"ER","463"
"KE","56601"
"MD","76777"
"NA","13012"
"OM","116152"
"CZ","350896"
"AW","4524"
"LT","16556"
"LU","19101"
"LI","607"
"NP","176500"
"ML","3573"
"NL","367715"
"DO","127591"
"CY","4760"
"MN","350"
"GM","3672"
"MZ","13130"
"MC","375"
"FJ","34"
"FO","495"
"ET","96942"
"LY","62907"
"ME","19210"
"CW","995"
"JM","9257"
"MY","33339"
"EC","169562"
"KR","26807"
"GA","8984"
"FK","13"
"GE","42579"
"CU","6970"
"ZM","16543"
"MR","7725"
"NI","5514"
"EE","5046"
"LA","24"
"MS","13"
"NZ","1612"
"LB","83697"
"FR","1466433"
"MW","5933"
"MU","451"
"CR","111257"
"NC","28"
"PS","66551"
"MA","225070"
"LS","1953"
"BQ","153"
"GQ","5089"
"JO","81743"
"MG","17111"
"LR","1436"
"DK","48241"
"DM","42"
"SX","844"
"HR","52660"
"MX","933155"
"JP","102281"
"FI","16400"
"LV","6268"
"SV","34015"
"CI","20753"
"KZ","151321"
"MT","6400"
